cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	0	ENSG00000148773	16.583208	8.125529	9.2172836523052e-62	1.8061267316692e-57
1	rest	1	ENSG00000164104	16.329803	5.7801795	6.05785634511487e-60	5.38432007583712e-56
1	rest	2	ENSG00000117724	16.310999	7.2367005	8.2434091490234e-60	5.38432007583712e-56
1	rest	3	ENSG00000164611	16.021393	5.3177094	9.05977304038748e-58	4.43815631815981e-54
1	rest	4	ENSG00000123975	15.717095	4.483696	1.15498225557251e-55	4.52637545958867e-52
1	rest	5	ENSG00000066279	15.566886	7.166501	1.2221353816704e-54	3.99129046730524e-51
1	rest	6	ENSG00000113810	15.541734	6.008122	1.81019090821227e-54	5.0672415494885e-51
1	rest	7	ENSG00000108106	15.497189	6.012068	3.62409243567476e-54	8.87676140963086e-51
1	rest	8	ENSG00000173207	15.441007	4.411452	8.67360589950196e-54	1.88843675111934e-50
1	rest	9	ENSG00000175063	15.143173	6.966302	8.40575830675703e-52	1.64710834020904e-48
1	rest	10	ENSG00000089685	15.001074	4.6775026	7.22407805411667e-51	1.2868709951856e-47
1	rest	11	ENSG00000131747	14.977215	6.88339	1.03463288926287e-50	1.68946928875883e-47
1	rest	12	ENSG00000069275	14.897173	2.5783877	3.43820081144538e-50	5.03739158705553e-47
1	rest	13	ENSG00000145386	14.894117	6.9647408	3.59905497416572e-50	5.03739158705553e-47
1	rest	14	ENSG00000075218	14.867319	6.7634506	5.37215158251062e-50	7.01782068395304e-47
1	rest	15	ENSG00000189403	14.847456	1.7127538	7.22589676129699e-50	8.8494654398509e-47
1	rest	16	ENSG00000100526	14.810081	6.5893908	1.26089904720272e-49	1.45337157823161e-46
1	rest	17	ENSG00000088325	14.803968	6.5010433	1.38089484903077e-49	1.50325747593099e-46
1	rest	18	ENSG00000134057	14.795976	6.685261	1.55512146501339e-49	1.60382132141776e-46
1	rest	19	ENSG00000129195	14.743555	6.5636415	3.3848490495702e-49	3.3163058563164e-46
1	rest	20	ENSG00000126787	14.732038	7.154146	4.01420653743266e-49	3.74563700480918e-46
1	rest	21	ENSG00000170540	14.6616335	4.375809	1.13508474814091e-48	1.0109993472646e-45
1	rest	22	ENSG00000164032	14.632838	1.831792	1.73401108743272e-48	1.47730205470626e-45
1	rest	23	ENSG00000198901	14.561729	6.3301888	4.91973653670608e-48	4.01675989319815e-45
1	rest	24	ENSG00000115163	14.518124	7.52931	9.30214777806325e-48	7.29102342844598e-45
1	rest	25	ENSG00000143228	14.4816885	6.7636213	1.58164405648422e-47	1.19201212641571e-44
1	rest	26	ENSG00000157456	14.177743	6.5329814	1.25828152962075e-45	9.13186169367357e-43
1	rest	27	ENSG00000188486	14.126145	5.3042893	2.62102580379267e-45	1.83425002233277e-42
1	rest	28	ENSG00000137804	14.030707	6.180649	1.01137682630973e-44	6.83376859018589e-42
1	rest	29	ENSG00000134690	13.884024	6.5125875	7.91713792701053e-44	5.17121058932571e-41
1	rest	30	ENSG00000117399	13.748741	6.8818316	5.18230804206442e-43	3.18885601791769e-40
1	rest	31	ENSG00000178999	13.748389	6.444627	5.20762401497147e-43	3.18885601791769e-40
1	rest	32	ENSG00000138778	13.744275	6.612712	5.51222513400633e-43	3.24987143693492e-40
1	rest	33	ENSG00000164109	13.74263	5.3183694	5.63897059738644e-43	3.24987143693492e-40
1	rest	34	ENSG00000111665	13.706664	6.582874	9.26191135584948e-43	5.18534722908202e-40
1	rest	35	ENSG00000029993	13.66106	3.52198	1.73438858289224e-42	9.44037341160371e-40
1	rest	36	ENSG00000128944	13.615222	5.863041	3.25155489959731e-42	1.72200589885431e-39
1	rest	37	ENSG00000198830	13.605584	2.2067144	3.709915038569e-42	1.91304697844104e-39
1	rest	38	ENSG00000203760	13.436335	5.174775	3.70332346634829e-41	1.86068264931012e-38
1	rest	39	ENSG00000166851	13.307046	6.744916	2.10646430808796e-40	1.03190420292459e-37
1	rest	40	ENSG00000182481	13.194213	4.5466447	9.47393707643383e-40	4.52784870762734e-37
1	rest	41	ENSG00000105968	13.1604805	3.165866	1.48141108163956e-39	6.91148812969694e-37
1	rest	42	ENSG00000123416	13.054582	2.0310047	5.98379214461483e-39	2.7268001645053e-36
1	rest	43	ENSG00000024526	12.92976	6.2888865	3.05773190402952e-38	1.36173310589678e-35
1	rest	44	ENSG00000204899	12.872755	4.3503666	6.40749278436153e-38	2.79010713576809e-35
1	rest	45	ENSG00000138182	12.816456	5.464169	1.32624895238237e-37	5.64953222215927e-35
1	rest	46	ENSG00000129534	12.76239	4.7470274	2.65914447071993e-37	1.10863693412249e-34
1	rest	47	ENSG00000136108	12.717609	4.823769	4.72082636848968e-37	1.92717901438657e-34
1	rest	48	ENSG00000135451	12.664836	6.0500746	9.2613243216669e-37	3.70358469557271e-34
1	rest	49	ENSG00000168078	12.613121	6.009418	1.78770432020287e-36	7.00601323087503e-34
1	rest	50	ENSG00000137807	12.429062	6.2060204	1.8175507160922e-35	6.9833149572209e-33
1	rest	51	ENSG00000163535	12.399678	4.59944	2.62375594387402e-35	9.88701879234837e-33
1	rest	52	ENSG00000087586	12.327042	5.917231	6.47817092797421e-35	2.3950897987482e-32
1	rest	53	ENSG00000143401	12.255345	3.5868723	1.57277740415632e-34	5.70714319156352e-32
1	rest	54	ENSG00000114346	12.250762	5.3528175	1.6642566836706e-34	5.92929267573189e-32
1	rest	55	ENSG00000068489	12.181768	4.7603965	3.88758557901345e-34	1.36030784679944e-31
1	rest	56	ENSG00000166451	12.123824	5.0763683	7.89857973705233e-34	2.71530999907966e-31
1	rest	57	ENSG00000170312	12.045428	5.3976636	2.05008531683651e-33	6.92610720403645e-31
1	rest	58	ENSG00000117650	12.022039	6.3015556	2.72171182456482e-33	9.03931240717758e-31
1	rest	59	ENSG00000072571	12.001471	6.285498	3.49039580338855e-33	1.13990509612331e-30
1	rest	60	ENSG00000169607	11.939647	6.135574	7.35344625816e-33	2.36214392505976e-30
1	rest	61	ENSG00000164754	11.866305	3.5182307	1.77117946609104e-32	5.59778413516999e-30
1	rest	62	ENSG00000134222	11.838215	5.35107	2.47668907636296e-32	7.70328927798923e-30
1	rest	63	ENSG00000189159	11.809419	2.3169608	3.48965575187734e-32	1.06843444465682e-29
1	rest	64	ENSG00000188229	11.661677	4.217791	2.00061404087156e-31	6.03108186628894e-29
1	rest	65	ENSG00000168393	11.6281805	3.8211403	2.96348093428776e-31	8.79839528899524e-29
1	rest	66	ENSG00000184897	11.557425	3.6424544	6.77093764522837e-31	1.98024661430224e-28
1	rest	67	ENSG00000129810	11.527571	5.129868	9.58094461339279e-31	2.76086190734458e-28
1	rest	68	ENSG00000213347	11.509706	3.7924404	1.17880734670009e-30	3.34764202298382e-28
1	rest	69	ENSG00000124795	11.427196	2.8522995	3.05826240806975e-30	8.56095026944668e-28
1	rest	70	ENSG00000111206	11.323765	5.4474397	1.00079147618963e-29	2.76204351773743e-27
1	rest	71	ENSG00000113368	11.291678	4.63077	1.4425561855762e-29	3.9259567300508e-27
1	rest	72	ENSG00000136824	11.272637	4.3205266	1.79122214584836e-29	4.80808191067105e-27
1	rest	73	ENSG00000106268	11.223978	4.175166	3.10959934494721e-29	8.23413502219467e-27
1	rest	74	ENSG00000151725	11.217514	4.598582	3.34543487857742e-29	8.74050619276328e-27
1	rest	75	ENSG00000109881	11.211872	3.5380251	3.56570437231107e-29	9.19341804939939e-27
1	rest	76	ENSG00000077152	11.196945	4.4347405	4.22036079585211e-29	1.07399960772366e-26
1	rest	77	ENSG00000197061	11.172263	3.7976694	5.57423529764149e-29	1.40034795714468e-26
1	rest	78	ENSG00000117632	11.130421	1.5284218	8.92135449116112e-29	2.21283469942155e-26
1	rest	79	ENSG00000104147	11.117139	5.185697	1.03538954533437e-28	2.53605726760337e-26
1	rest	80	ENSG00000118193	11.11185	5.931685	1.09859429131271e-28	2.65764878250278e-26
1	rest	81	ENSG00000138160	11.069773	5.362482	1.75846078992351e-28	4.2020779486038e-26
1	rest	83	ENSG00000140451	10.992083	6.4702764	4.17188647380878e-28	9.73191850646226e-26
1	rest	84	ENSG00000006634	10.961053	4.499081	5.88110011925995e-28	1.35576655102234e-25
1	rest	85	ENSG00000143815	10.78287	4.095577	4.14738008981418e-27	9.44975730929172e-25
1	rest	86	ENSG00000080986	10.682143	5.287927	1.23389608514163e-26	2.77910273429314e-24
1	rest	87	ENSG00000213186	10.646413	4.2516556	1.81214511530255e-26	4.03511176526745e-24
1	rest	88	ENSG00000161800	10.632191	5.1058636	2.11094209521654e-26	4.64763037705259e-24
1	rest	89	ENSG00000142945	10.520298	5.4368052	6.96530333439594e-26	1.51650132041654e-23
1	rest	90	ENSG00000184661	10.489974	5.8436475	9.60549139618336e-26	2.06834729569465e-23
1	rest	91	ENSG00000182628	10.483979	3.586713	1.02344386804755e-25	2.17982419504258e-23
1	rest	92	ENSG00000173456	10.371616	3.9625654	3.3382935897659e-25	7.03374869800676e-23
1	rest	93	ENSG00000112984	10.334358	5.9751024	4.92700461743478e-25	1.0270708029642e-22
1	rest	94	ENSG00000259781	10.321664	3.178288	5.62397909724449e-25	1.16001968853164e-22
1	rest	95	ENSG00000137812	10.277353	5.006058	8.91416362138563e-25	1.81951079334429e-22
1	rest	96	ENSG00000132341	10.273123	1.4434879	9.3140393226712e-25	1.88153196420353e-22
1	rest	97	ENSG00000233450	10.213767	4.83769	1.72052026671665e-24	3.4401627169707e-22
1	rest	98	ENSG00000035499	10.207656	4.8453393	1.83238831962427e-24	3.62683324475126e-22
1	rest	99	ENSG00000282958	10.203189	2.6055467	1.9186666653076e-24	3.75962733067024e-22
2	rest	0	ENSG00000145423	14.703459	3.631343	6.12495051673426e-49	1.20018405375408e-44
2	rest	1	ENSG00000185885	12.198317	3.2699542	3.17314583841042e-34	3.10888963518261e-30
2	rest	2	ENSG00000067225	12.019899	1.5403228	2.79310642432139e-33	1.82436401281925e-29
2	rest	3	ENSG00000197406	11.394306	5.1119018	4.46371696091577e-30	2.18666334622861e-26
2	rest	4	ENSG00000049449	11.246841	2.697141	2.40035034877866e-29	9.40697301686358e-26
2	rest	5	ENSG00000104327	11.2209215	5.404995	3.2189798296106e-29	1.05126516268699e-25
2	rest	6	ENSG00000117450	11.014069	1.6821209	3.26901651130341e-28	9.15091121985575e-25
2	rest	7	ENSG00000074800	10.960216	1.368671	5.93576670321322e-28	1.45389185686829e-24
2	rest	8	ENSG00000185559	10.898562	4.664495	1.17092687468644e-27	2.54936801216454e-24
2	rest	9	ENSG00000102144	10.750342	2.1448326	5.9041955119111e-27	1.15692711055898e-23
2	rest	10	ENSG00000184302	10.688941	3.5656714	1.14673117444568e-26	2.04274521484209e-23
2	rest	11	ENSG00000105223	10.655094	2.5976331	1.65077297723315e-26	2.69557470740696e-23
2	rest	12	ENSG00000167815	10.569031	1.3376648	4.14757154645101e-26	6.25166649636212e-23
2	rest	13	ENSG00000143870	10.540343	2.7891996	5.62929430245513e-26	7.87900156118631e-23
2	rest	14	ENSG00000142538	10.494166	4.32726	9.18852607967225e-26	1.20032779020785e-22
2	rest	15	ENSG00000166794	10.4614525	2.5656722	1.2985001608627e-25	1.59025691575654e-22
2	rest	16	ENSG00000123131	10.23346	2.4392216	1.40410623038365e-24	1.61843891672751e-21
2	rest	17	ENSG00000080824	10.227421	1.499233	1.49446378380038e-24	1.62688988019825e-21
2	rest	18	ENSG00000074695	10.182124	2.9243343	2.38300937917367e-24	2.45763519920569e-21
2	rest	19	ENSG00000041357	10.143748	2.6148064	3.53277730609254e-24	3.46123856564417e-21
2	rest	20	ENSG00000138385	10.113425	2.8255394	4.81702156946661e-24	4.49473988827134e-21
2	rest	21	ENSG00000046653	9.942306	3.5406632	2.72447831566595e-23	2.42664329979429e-20
2	rest	22	ENSG00000166165	9.757597	3.2125802	1.71163189705378e-22	1.45823595751168e-19
2	rest	23	ENSG00000010278	9.702864	3.9497802	2.93153246440524e-22	2.39347411000086e-19
2	rest	24	ENSG00000117592	9.686632	1.4694052	3.43673920781742e-22	2.6937161910873e-19
2	rest	26	ENSG00000150687	9.604093	3.885098	7.6831903123683e-22	5.57600422855025e-19
2	rest	27	ENSG00000102265	9.583205	2.1259527	9.40786864792437e-22	6.58382807700279e-19
2	rest	28	ENSG00000149925	9.52885	1.0291976	1.59035209260279e-21	1.07458445705351e-18
2	rest	29	ENSG00000126457	9.498778	2.9541957	2.1236731940926e-21	1.38711254127481e-18
2	rest	30	ENSG00000164434	9.470971	4.1180587	2.77253633582004e-21	1.75251127420625e-18
2	rest	31	ENSG00000139644	9.449707	2.5749114	3.39780140928881e-21	2.02973527957734e-18
2	rest	32	ENSG00000115310	9.449078	2.049423	3.41828345118919e-21	2.02973527957734e-18
2	rest	33	ENSG00000167004	9.372578	2.8218799	7.0782534186375e-21	4.07936399230005e-18
2	rest	34	ENSG00000170345	9.343764	4.03411	9.29690481050585e-21	5.20493856462463e-18
